"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Verlander, Justin","434378","93.9","92.9",,"86.6","84.6","79.4",,,,
"Shields, James","448306","92.8","92.5","87.9",,"85.5","79.8",,,,
"Wilson, C.J.","450351","91.5","92","89.1","83.2","86","78",,,,
"Lester, Jon","452657","93.4","92.4","90.1",,"86","76.3",,,,
"Wainwright, Adam","425794","91.8","91.6","88.5",,"84.6","75.6",,,,
"Tillman, Chris","501957","92.3",,"92.2","87.1","83.4","77.1",,,,
"Darvish, Yu","506433","93.5","92.9","89.7",,,"66.6","88.1",,"81.6",
"Kershaw, Clayton","477132","93.2",,,"85.6","85.9","74.2",,,,
"Samardzija, Jeff","502188","95.3","95.1","91.9","84.5",,,"84.4",,,
"Hamels, Cole","430935","91.9","92.4","88.6",,"83.9","77.1",,,,
"Scherzer, Max","453286","93.9",,,"85.5","85.2","78.2",,,,
"Dickey, R.A.","285079","82.4",,,,,,,"76.5",,
"Lynn, Lance","458681","93.3","92.4",,"87.8","85.4","79.6",,,,
"Guthrie, Jeremy","425386","93.2","93","92.5","84.4","85.8","74.8",,,,
"Fister, Doug","450729","89.2","89.3","86",,"80.6","73.9",,,,
"Quintana, Jose","500779","91.9","92.3",,"88.1","86","80.1",,,,
"Sabathia, CC","282332","91.9","91.2",,"81.5","85.1","76.4",,,,
"Gonzalez, Gio","461829","93.4","92.6",,,"84.4","78.9",,,,
"Buehrle, Mark","279824","84.6","84.4","80.7",,"79.2","73.5",,,,
"Bailey, Homer","456701","94.9","94.4",,"88.7","86.5","80.1",,,,
"Holland, Derek","502706","94.2","94.2",,"83.2","83.8","76.3",,,,
"Lee, Cliff","424324","91.1","91.3","87.4","81.9","84.6","74.8",,,,
"Lincecum, Tim","453311","90.8","90.7",,"82.6","84","76",,,,
"Sale, Chris","519242","93.7","93.9",,"79.1","83.6",,,,,
"Stults, Eric","445590","87.6","84.3",,"79","77.8","66.7",,,,
"Miley, Wade","489119","91.8","91.5",,"84","83.4","76.9",,,,
"Latos, Mat","502009","93.5","92.9","93.5","86.6","84.8","78.3",,,,
"Griffin, A.J.","456167","89.5",,,"81.6","81.4","68.7",,,,
"Kuroda, Hiroki","493133","91.6","92",,"84.3",,"76.4","86.5",,,
"Bumgarner, Madison","518516","92","92.3","88.2","89.3","84.6","77.2",,,,
"Santana, Ervin","429722","93","92.2",,"84.4","85.8",,,,,
"Nolasco, Ricky","445060","90.9","90.8","92","82.7","87.1","74.9","80.7",,,
"Hernández, Félix","433587","92.6","89.9","92.5","84.7","88.8","80.7",,,,
"Jiménez, Ubaldo","434622","92.6","92.1","91.3","84.1",,"77.3","84.1",,,
"Minor, Mike","501985","90.9","91.2",,"84.9","84.8","80.4",,,,
"Saunders, Joe","434578","90.4","89.8",,"82.6","82.4","75.5",,,,
"Kennedy, Ian","453178","90.8","91","86.1","86.7","81.3","78.3",,,,
"Iwakuma, Hisashi","547874","90.3","89.5","85.1","81.6",,"72.7","85.7",,,
"Wood, Travis","475243","89.6","89.3","87.1","77.9","78.9","70.5",,,,
"Corbin, Patrick","571578","92.5","92.7",,"80.5","82.8","73.7",,,,
"Zimmermann, Jordan","519455","94.6","94.7",,"86.5","87.7","77.8",,,,
"Ryu, Hyun Jin","547943","91.1","90.6",,"82.5","80.1","72.3",,,,
"Gallardo, Yovani","451596","91.3","91.2","90.8","86.8","86.2","78.5",,,,
"Medlen, Kris","450665","90.1","90","87.1",,"83.2","77.1",,,,
"Norris, Bud","502032","93","93.5","92.8","84.9","85.7",,,,,
"Lohse, Kyle","346798","90.1","90.1",,"84.5","81.1","74.6",,,,
"Masterson, Justin","475416","93.8","91.1",,"83.6","85.3",,,,,
"Burnett, A.J.","150359","93.2","93.1",,,"88.2","83.2",,,,
"Volquez, Edinson","450172","93.1","93.1",,,"83.8","79.7",,,,
"Dempster, Ryan","133225","89.8","89.9","87.6","84.3",,,"81.5",,,
"Gee, Dillon","518716","89.8","90","87.9","82.4","83.9","75.5",,,,
"Feldman, Scott","444857","90.4","90.6","88.3",,"86","75.6",,,,
"Parker, Jarrod","519105","92.3","92",,"83.3","82.1","77.3",,,,
"Sánchez, Aníbal","434671","93.9","93.6","94.2","86.8","78.4","79.6","87.4",,,
"Peralta, Wily","503449","95.4","95.6",,"85.3","84.9",,,,,
"Miller, Shelby","571946","94.3","92.2","90.1",,"85.7","79.9",,,,
"Chacín, Jhoulys","468504","90.5","89.8","90.8","81.1","82.4","75.9",,,,
"Cain, Matt","430912","91.8","91.7",,"87.1","86.2","79.6",,,,
"Jackson, Edwin","429719","93.6","93.5",,"85.5","87.2","78.4",,,,
"Correia, Kevin","429781","91","91.1","90.6","88.5","86.2","78.4",,,,
"Leake, Mike","502190","90.9","90.8","88.9","80.8","84.3","78.9",,,,
"Pettitte, Andy","120485","89.7","89.6","87.4","83.1","80.9","75.6",,,,
"Hellickson, Jeremy","476451","90.9","91.4","88.5",,"80.3","76.5",,,,
"Lackey, John","407793","92.3","92","86.2","84.3","84.1","79.8",,,,
"Teheran, Julio","527054","92.8","90.3",,"81.9","82.6","73.3",,,,
"Arroyo, Bronson","276520","87.8","88","83","76.3","78.1","70.4",,,,
"Kendrick, Kyle","452718","89.6","90.4","87.2","77.9","82.7",,,,,
"Strasburg, Stephen","544931","96.1","95.4",,,"88.5","80.5",,,,
"Harrell, Lucas","449173","92.4","92.4","94.2","89.1","83.5","81.5",,,,
"Doubront, Félix","467094","91.2","90.7","86.4",,"83.5","74.7",,,,
"Nicasio, Juan","504379","92.6","91.1",,"84.5","85.6",,,,,
"Porcello, Rick","519144","92.3","91.6",,"85.4","82.9","78.4",,,,
"Greinke, Zack","425844","92.2","92.6","86.5","82.8","87","73.2",,,,
"Colon, Bartolo","112526","92.2","89.4",,"83.6","83.1",,,,,
"Haren, Dan","429717","89.4","89.5","86",,,"78.9","84.1",,,
"De La Rosa, Jorge","407822","91.6","87","85.8","84.9",,"74","83.6",,,
"Kazmir, Scott","431148","92.6","93.1","86.7","85","80.8","76.9",,,,
"Pelfrey, Mike","460059","92.5","93",,"86.7",,"76","85.8",,,
"Price, David","456034","94.1","94.1","88.8",,"84.4","80",,,,
"González, Miguel","456068","92","91.9",,"85.3","84","78.3",,,,
"Locke, Jeff","502046","90.7","91",,,"81.6","80.2",,,,
"Harvey, Matt","518774","96.5","96.7",,"90.4","87.7","84",,,,
"Santiago, Héctor","502327","92.3","92.4","87.4",,"82.9","76.4",,,,
"Bedard, Erik","407853","90.1","90.4","87.8",,"75.5","76.2","81.3",,,
"Cashner, Andrew","488768","95.4","94.9",,"83.4","84.7","78.3",,,,
"Williams, Jerome","425532","93","92.9","89.9","81.7","85.8","77.8",,,,
"Moore, Matt","519043","92.9","93.1",,"82.9","84.5","81.1",,,,
"Fernández, José","605228","95.8","94",,,"87.2","82.3",,,,
"Milone, Tommy","543548","87.6","87.6","86.4",,"80.9","76.1",,,,
"Hughes, Phil","461833","93","92.1",,"81.4","85.1","75.2",,,,
"Keuchel, Dallas","572971","89.6","90","88.5","80.6","78.1","74.2",,,,
"Liriano, Francisco","434538","93.3","93.5",,"87.4","87.1",,,,,
"Straily, Dan","573185","90.8","91.2",,"83.9","83.2","75.3",,,,
"Maholm, Paul","430904","88.1","87.5","83.4","79.5","80.7","72.3",,,,
"Davis, Wade","451584","92.9","91.3","90",,"85.9","82.4",,,,
"Lyles, Jordan","543475","93","92.5",,"86.9","82.6","80.2",,,,
"Garza, Matt","490063","93.7","93.2",,"85.4","85.8","75.4",,,,
"Weaver, Jered","450308","87.4","86.9","86.4","81.1","78.6","72",,,,
"Harang, Aaron","421685","90.1","90.4",,"81.9","84","74.9",,,,
"Vargas, Jason","450306","88.2","88.3","83.2",,"81","76.5",,,,
"Peavy, Jake","408241","91.1","91.3","87.2","83.3","83.5","80.2",,,,
"Cahill, Trevor","502239","91.1","89.9",,"87.5","82.4","78.5",,,,
"Hernandez, Roberto","433584","91.9","92.1",,"84.6","85.2",,,,,
"Zito, Barry","217096","83.3","83.7","80.6","79.6","75","71.4",,,,
"Niese, Jonathon","477003","90.7","90.4","88.5",,"84","75.9",,,,
"Richards, Garrett","572070","95.5","95.7","95.1","86.3","88.9","78",,,,
"Hammel, Jason","434628","93.4","93.2",,"85.1","86.5","77.7",,,,
"Kluber, Corey","446372","94.1","93.8",,"90.1","85.4","83.3",,,,
"McAllister, Zach","502083","92","91.7","90.2","86.5","82.7","79.4",,,,
"Rogers, Esmil","469134","94.4","93.1","91.2","87.2","86.9","81.7",,,,
"Axelrod, Dylan","518420","88.6","88.3",,"82.5","81.5","74.1",,,,
"Koehler, Tom","543408","93.4","93.8",,"86.3","86.3","80.8",,,,
"Blanton, Joe","430599","90","89.9","85.8","82.2","84.1","77.3",,,,
"Danks, John","433579","89.9","89.3","86.2",,"80.5","73",,,,
"Cobb, Alex","502171","91.5","91.7",,,"86.4","80.3",,,,
"Diamond, Scott","539438","89.1",,,,"84.4","82",,,,
"Chen, Wei-Yin","612672","92.1","91.5",,"82.2","84.3","73.2",,,,
"Hefner, Jeremy","458550","91.6","90.8",,"85.7","84.9","76.7",,,,
"Archer, Chris","502042","95.6","95.7",,"86","84.8",,,,,
"Nova, Iván","467100","94","93.3",,"87","86.1","81.3",,,,
"McCarthy, Brandon","435221",,"91.3","90.3",,"78.6","78.7","85.1",,,
"Hudson, Tim","218596","90.3","90.3","85.2",,,"76.7","81.5",,,
"Estrada, Marco","462136","89.7",,,,"78.1","77.8",,,,
"Ross, Tyson","475115","94.8","94.5","94","86.4","87.2",,,,,
"Villanueva, Carlos","453646","88.4","87.8",,"82.5","80.7","74.6",,,,
"Kelly, Joe","523260","96","95.5",,"84","85.4","78.4",,,,
"Marquis, Jason","150302","86.6","87.8",,"81.3","77.1",,,,,
"Chen, Bruce","136600","87.1","85.1",,"82.5","76.8","74.8",,,,
"Pérez, Martín","527048","93.8","93.3",,"85.3","85.5","78",,,,
"Westbrook, Jake","150414",,"90","85",,"81.4","79.1","83.8",,,
"Turner, Jacob","545363","92.3","92.6","85.1",,"86","78.5",,,,
"Cingrani, Tony","571561","92.4",,,"79.6","84.8","75.6",,,,
"Delgado, Randall","517414","92.5","92.1",,"82.7","82.6","79.6",,,,
"Chatwood, Tyler","543022","93.6","93.5",,"85.9","83.6","78.3",,,,
"Deduno, Samuel","465679","90.8",,"90.8",,"84.4","81.8",,,,
"Vogelsong, Ryan","285064","89.9","89.3",,"86.8","83","76.3",,,,
"Cole, Gerrit","543037","96.8","96.6",,"89.6","88.7","84",,,,
"Happ, J.A.","457918","91.7","91.4",,"83.9","84.7","76.7",,,,
"Wheeler, Zack","554430","95.2","94.5","87.7",,"87.3","78.1",,,,
"Morton, Charlie","450203","94.2","93.2","90.3","82.6",,"78.7","86.1",,,
"Ogando, Alexi","468396","94.3","93.4","94.3","81","86.1",,,,,
"Eovaldi, Nathan","543135","96.9","94.9",,"86.9","87.8","78",,,,
"Capuano, Chris","425626",,"89.4",,"82.1","78.4","75.1",,,,
"Pettibone, Jonathan","543643","91.5","91.1","88","86.3","83.9",,,,,
"Grimm, Justin","518748","92.3","90.6",,"85.6","83.3","78.3",,,,
"Buchholz, Clay","453329","92.6","92.2","88.2",,"80.8","77.8","85.6",,,
"Mendoza, Luis","434669","92.4","92",,"83.7","83.9","78.8",,,,
"Gaudin, Chad","429985","91.5","91.6",,"80","86",,,,,
"Tepesch, Nick","519344","91.8","91.6",,"86.1","84.2","78.7",,,,
